Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
SH6-F001,Startup and local-server guard,"As a user, I can open SH6 from a supported HTTP server and receive guidance if opened from file://.",HTTP startup initializes navigation and data loading; file:// startup hides broken controls and shows local server instructions.,file:// modules blocked; missing runtime module; delayed preload.,Open index over HTTP; open index via file protocol smoke; verify nav and load panel state.,Passed,0,Low,Covered by run-file-protocol-startup-smoke and init navigation resilience smoke.,2026-06-22
SH6-F002,Top navigation and command search,"As a user, I can search and move between reports from the left navigation and Prev/Next buttons.","Navigation entries are grouped, searchable, keyboard accessible, and update active report state.",Empty search; keyboard slash focus; hidden DXer reports; single-instance reports.,Run navigation runtime smoke; search for main; press Escape; click grouped report.,Passed,0,Low,Smoke test updated to current runtime URL version.,2026-06-22
SH6-F003,Analysis mode selector,"As a user, I can choose Contester or DXer mode before loading logs.",Contester supports compare count; DXer forces single-log flow and re-derives loaded data.,Switching with loaded logs; restoring compare count after leaving DXer; tooltip click/focus.,Run analysis-controls smoke; switch Contester->DXer->Contester; use suggestion button.,Passed,0,Low,Smoke test updated to current runtime URL version.,2026-06-22
SH6-F004,Compare-count selector,"As a contester, I can choose 1-4 log slots for comparison.",Visible slots and summary update from selected count; compare state and report set rebuild.,DXer disables compare; count reduced after filled slots; skipped slots.,Run analysis-controls and load-panel smoke; select 2 logs; verify helper and body class.,Passed,0,Low,Covered by runtime smoke.,2026-06-22
SH6-F005,Upload and drag-drop log loading,"As a user, I can load ADIF/Cabrillo/CBR/LOG files from my computer.",Accepted file types are parsed locally and assigned to selected slot; full-slot drops prompt replacement.,Unsupported extension; all slots filled; malformed log; large log.,Upload generated CQ-WPX Cabrillo through real file input; drag unsupported txt file onto drop zone; verify parse status and invalid-file alert.,Passed,0,Low,Covered by run-critical-journeys-smoke: valid .log upload parses 4 QSOs as CABRILLO; invalid drag/drop shows supported-extension alert.,2026-06-22
SH6-F006,Archive search and load,"As a user, I can search public contest archives by callsign and load a log into any slot.","Archive query returns rows, selecting a result downloads raw log and applies it to the target slot.",No results; SQL.js CDN unavailable; fetch failure; repeated setup calls.,"Run archive-search runtime smoke; verify search, filters, select, analytics events.",Passed,0,Low,Covered by run-archive-search-runtime-smoke.,2026-06-22
SH6-F007,Demo log loading,"As a new user, I can load demo data to explore reports without a file.",Demo buttons load sample log data for requested slot and update load summary.,Demo slot already loaded; compare slot hidden; failed demo fetch.,Run load-panel smoke; click demo button for Log B.,Passed,0,Low,Covered by run-load-panel-runtime-smoke.,2026-06-22
SH6-F008,Load summary and skip flow,"As a compare user, I can see which slots are loaded, empty, or skipped before viewing reports.",Summary lists active slots; View reports enables once visible slots are loaded or skipped consistently.,No loaded slots; skip then reset; archive compact mode.,Run load-panel smoke; skip Log A; verify summary and View reports activation.,Passed,0,Low,Covered by load-panel runtime smoke.,2026-06-22
SH6-F009,Session save/load and permalink,"As a user, I can save a session or restore state via permalink.","Session codec serializes analysis mode, slot metadata, filters, and optional raw logs; storage autosaves without raw logs.",Missing raw log; old payload migration; malformed permalink; storage unavailable.,Run session codec smoke and storage runtime smoke.,Passed,0,Low,Storage smoke updated to current runtime URL version.,2026-06-22
SH6-F010,Durable local storage,"As a returning user, I can rely on browser storage for autosave and cached raw/archive logs.","IndexedDB/local storage helpers save raw logs, archive logs, compare perspectives, and autosave payloads.",IndexedDB unavailable; quota failure; missing slot id; corrupted JSON.,Run storage runtime smoke.,Passed,0,Low,Covered by run-storage-runtime-smoke.,2026-06-22
